"tx_id","gene","baseMean","log2FoldChange","padj","neglog10padj","sig"
"fd90868a-e3e0-4cb7-856d-b1433129bae0_AT1G01120","AT1G01120",42.1070192534986,-0.919790315198647,0.00975396668804546,2.01081873195367,FALSE
"5a003d3f-cb06-48da-928a-2625410ff964_Chr1:63000","Chr1:63000",2.83421731384733,-0.00549318570324469,NA,NA,FALSE
"5f3569af-969a-4ffa-a889-bf698e0bedaa_Chr1:64000","Chr1:64000",1.24244257310841,-0.0168561391872731,NA,NA,FALSE
"da005a59-f723-474b-8a03-0039bf6f033f_Chr1:73000","Chr1:73000",4.10330626711849,-0.04150667626115,0.916413486390656,0.0379085281448566,FALSE
"43ba5882-6ac4-47c4-b0f9-9a38c3e29452_Chr1:75000","Chr1:75000",0.918059155245311,0.0216066320922484,NA,NA,FALSE
"8bec7dca-3446-4d32-a571-43ef4041162b_AT1G01180","AT1G01180",3.65274236052251,0.024166135866156,NA,NA,FALSE
"63ded3f1-6da6-4488-86c4-34119943e1b4_AT1G01250","AT1G01250",1.80711674788304,0.0224795568813821,NA,NA,FALSE
"a49180a5-b521-4bf4-84cf-154a087624c5_AT1G01260","AT1G01260",1.016329010466,0.000764459043770485,NA,NA,FALSE
"1d96dfc9-6317-4996-a548-4896e1cee891_G43","G43",45.8297679504937,-0.0671816532225991,0.94304178360278,0.0254690644354108,FALSE
"3cda2218-ce2f-4104-8818-8195e1533424_AT1G01390","AT1G01390",0.879484198093565,0.00403074173341077,NA,NA,FALSE
"c8115ac4-5f21-44aa-b421-f369e8422e5d_Chr1:154000","Chr1:154000",1.38007212401826,0.0190773744674776,NA,NA,FALSE
"c2f7932c-28c0-41a0-a1ed-592939c1ced9_AT1G01420","AT1G01420",1.49190351834433,-0.0073145995187874,NA,NA,FALSE
"3a31cefd-6a92-4a38-883b-dd07b9ef4326_Chr1:172000","Chr1:172000",3.21957626502011,-0.00184560423737932,NA,NA,FALSE
"6c68d55f-925d-4d35-afcd-425c20c06d52_AT1G01470","AT1G01470",2.92616748040013,0.0138368824341355,NA,NA,FALSE
"12355edf-2851-4e67-a42f-9520fa4cac4a_Chr1:192000","Chr1:192000",0.98729136981713,0.0162656304651613,NA,NA,FALSE
"2ff62fe2-7c53-4dda-9f38-dd1e2559423b_AT1G01550","AT1G01550",2.37978043237887,-0.0957899442165928,NA,NA,FALSE
